dropped_file_names,true_label,true_id
596bd8e7-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5897b24d-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
58d2ebc4-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
5864382d-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
loc_0160_im_000895.jpg,Mexican Gray Wolf,15
59420f2b-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
58e59851-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5975168a-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5a1e50ce-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
59f944a1-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
59e101ee-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
58f5af0e-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
58dc4d47-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
59ccd038-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
loc_0197_im_000297.jpg,Mexican Gray Wolf,15
5965ab43-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5a2962f6-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
58c03694-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
loc_0086_im_005702.jpg,Mexican Gray Wolf,15
58823e75-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
loc_0212_im_001009.jpg,Mexican Gray Wolf,15
59fc7cd7-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5a263838-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
596d65b2-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
5a07cc8c-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
598ace3a-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
loc_0121_im_003731.jpg,Mexican Gray Wolf,15
58995b8c-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
5a16409d-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
593ef457-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
loc_0183_im_002277.jpg,Mexican Gray Wolf,15
59973cc8-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
59b61494-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
loc_0122_im_002790.jpg,Mexican Gray Wolf,15
58adc527-23d2-11e8-a6a3-ec086b02610b.jpg,Coyote,11
59a94aea-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
58b4aa28-23d2-11e8-a6a3-ec086b02610b.jpg,Domestic Dog,18
loc_0138_im_001414.jpg,Mexican Gray Wolf,15
loc_0177_im_000556.jpg,Mexican Gray Wolf,15
loc_0122_im_004215.jpg,Mexican Gray Wolf,15
loc_0257_im_004273.jpg,Mexican Gray Wolf,15
loc_0084_im_002546.jpg,Mexican Gray Wolf,15
loc_0111_im_002808.jpg,Mexican Gray Wolf,15
loc_0136_im_000004.jpg,Mexican Gray Wolf,15
